,DEPT,AGK,BK,DS,DT,GGKP,GK,GZ1,GZ2,GZ3,GZ4,GZ5,IK,LIT_new,MBK,MDS,MGZ,MPZ,NGK,NKT,PS,PZ,SATURAT_new,Soil_new,kp_new,well,FZ,EF_b
0,3732.4,0.199000001,9.5699996948,NaN,257.95300293,2.5699999332,4.8060002327,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.6670000553,399.86499023,13.260000229,NaN,NaN,NaN,192,NaN,4.0
1,3732.5,0.2680000067,9.5200004578,NaN,258.62399292,2.5490000248,4.6079998016,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.5810000896,399.80300903,13.319999695,NaN,NaN,NaN,192,1.0,4.0
2,3732.6,0.2969999909,8.529999733,NaN,260.04598999,2.507999897,4.5229997635,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.4749999046,399.74099731,13.289999962,NaN,NaN,NaN,192,1.0,4.0
3,3732.7,0.2779999971,8.1199998856,NaN,261.46798706,2.4670000076,4.5780000687,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.3819999695,399.61801147,13.319999695,NaN,NaN,NaN,192,1.0,4.0
4,3732.8,0.2430000007,8.4799995422,NaN,263.16299438,2.4479999542,4.6799998283,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.3050000668,399.49398804,13.199999809,NaN,NaN,NaN,192,1.0,4.0
5,3732.9,0.2129999995,9.1599998474,NaN,264.85800171,2.4279999733,4.7680001259,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.236000061,399.30899048,13.069999695,NaN,NaN,NaN,192,1.0,4.0
6,3733.0,0.1780000031,9.279999733,NaN,265.57400513,2.4539999962,4.867000103,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.1700000763,399.18499756,12.960000038,NaN,NaN,NaN,192,1.0,4.0
7,3733.1,0.125,9.0100002289,NaN,266.29098511,2.4790000916,5.021999836,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.1040000916,399.0,12.909999847,NaN,NaN,NaN,192,1.0,4.0
8,3733.2,0.0599999987,8.0900001526,NaN,266.09799194,2.5269999504,5.2100000381,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.0280001163,398.93899536,12.840000153,NaN,NaN,NaN,192,1.0,2.0
9,3733.3,0.0049999999,7.3699998856,NaN,265.90499878,2.5750000477,5.3680000305,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,2.9489998817,398.87701416,12.829999924,NaN,NaN,NaN,192,1.0,2.0
10,3733.4,0.0,6.7100000381,NaN,264.75601196,2.6089999676,5.4520001411,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,2.9010000229,398.81500244,13.029999733,NaN,NaN,NaN,192,1.0,2.0
11,3733.5,0.0,6.3499999046,NaN,263.60699463,2.6419999599,5.4270000458,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,2.9030001163,398.75299072,13.380000114,NaN,NaN,NaN,192,1.0,2.0
12,3733.6,0.0340000018,6.0799999237,NaN,262.46899414,2.6459999084,5.2849998474,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,2.9500000477,398.69198608,13.840000153,NaN,NaN,NaN,192,1.0,2.0
13,3733.7,0.1030000001,6.0599999428,NaN,261.33200073,2.6489999294,5.0859999657,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.0320000648,398.56799316,14.390000343,NaN,NaN,NaN,192,1.0,2.0
14,3733.8,0.1669999957,6.6599998474,NaN,259.76199341,2.6340000629,4.9010000229,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.1510000229,398.44500732,15.119999886,NaN,NaN,NaN,192,1.0,2.0
15,3733.9,0.2220000029,8.0200004578,NaN,258.19198608,2.6180000305,4.7410001755,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.3050000668,398.3210144,16.040000916,NaN,NaN,NaN,192,1.0,2.0
16,3734.0,0.2820000052,10.729999542,NaN,256.05300903,2.5969998837,4.5679998398,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.4700000286,398.3210144,17.069999695,NaN,NaN,NaN,192,1.0,2.0
17,3734.1,0.3490000069,13.329999924,NaN,253.91400146,2.5750000477,4.375,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.618999958,398.3210144,18.190000534,NaN,NaN,NaN,192,1.0,2.0
18,3734.2,0.4059999883,15.529999733,NaN,251.33198547,2.5559999943,4.2100000381,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.7509999275,398.38299561,19.059999466,NaN,NaN,NaN,192,1.0,2.0
19,3734.3,0.4399999976,16.280000687,NaN,248.75001526,2.5369999409,4.1129999161,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.875,398.50601196,19.86000061,NaN,NaN,NaN,192,1.0,2.0
20,3734.4,0.451000005,17.129999161,NaN,245.65600586,2.5329999924,4.0819997787,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.9849998951,398.56799316,20.569999695,NaN,NaN,NaN,192,1.0,2.0
21,3734.5,0.4519999921,17.590000153,NaN,242.5610199,2.5280001163,4.0780000687,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,4.0469999313,398.63000488,21.25,NaN,NaN,NaN,192,1.0,2.0
22,3734.6,0.4550000131,17.420000076,NaN,239.89900208,2.5339999199,4.0700001717,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,4.0430002213,398.69198608,21.840000153,NaN,NaN,NaN,192,1.0,2.0
23,3734.7,0.4589999914,17.010000229,NaN,237.23699951,2.5399999619,4.0580000877,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,4.0149998665,398.75299072,22.459999084,NaN,NaN,NaN,192,1.0,2.0
24,3734.8,0.4600000083,15.649999619,NaN,235.18899536,2.5420000553,4.0560002327,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,4.0430002213,398.81500244,22.899999619,NaN,NaN,NaN,192,1.0,2.0
25,3734.9,0.4620000124,14.590000153,NaN,233.14199829,2.5439999104,4.0500001907,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,4.2049999237,398.87701416,23.450000763,NaN,NaN,NaN,192,1.0,2.0
26,3735.0,0.4740000069,14.829999924,NaN,232.28797913,2.5469999313,4.0149998665,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,4.5370001793,398.93899536,23.920000076,NaN,NaN,NaN,192,1.0,2.0
27,3735.1,0.4939999878,18.100000381,NaN,231.43499756,2.5510001183,3.9579999447,NaN,NaN,NaN,NaN,NaN,NaN,2.0,NaN,NaN,NaN,NaN,NaN,5.0100002289,399.06201172,24.469999313,NaN,NaN,NaN,192,1.0,2.0
28,3735.2,0.5170000196,19.989999771,NaN,231.71899414,2.5569999218,3.8910000324,NaN,NaN,NaN,NaN,NaN,NaN,2.0,NaN,NaN,NaN,NaN,NaN,5.5289998055,399.12399292,24.879999161,NaN,NaN,NaN,192,1.0,2.0
29,3735.3,0.5479999781,20.600000381,NaN,232.0039978,2.5629999638,3.8020000458,NaN,NaN,NaN,NaN,NaN,NaN,2.0,NaN,NaN,NaN,NaN,NaN,5.9790000916,399.12399292,24.920000076,NaN,NaN,NaN,192,1.0,2.0
30,3735.4,0.5889999866,32.979999542,NaN,232.04898071,2.5889999866,3.6830000877,NaN,NaN,NaN,NaN,NaN,NaN,2.0,NaN,NaN,NaN,NaN,NaN,6.2729997635,399.18499756,24.700000763,NaN,NaN,NaN,192,1.0,2.0
31,3735.5,0.6209999919,65.589996338,NaN,232.09501648,2.6159999371,3.5920000076,NaN,NaN,NaN,NaN,NaN,NaN,2.0,NaN,NaN,NaN,NaN,NaN,6.3619999886,399.24700928,24.620000839,NaN,NaN,NaN,192,1.0,2.0
32,3735.6,0.6129999757,60.88999939,NaN,231.94700623,2.638999939,3.614000082,NaN,NaN,NaN,NaN,NaN,NaN,2.0,NaN,NaN,NaN,NaN,NaN,6.2239999771,399.3710022,24.340000153,NaN,NaN,NaN,192,1.0,2.0
33,3735.7,0.5550000072,32.590000153,NaN,231.79899597,2.6630001068,3.7839999199,NaN,NaN,NaN,NaN,NaN,NaN,2.0,NaN,NaN,NaN,NaN,NaN,5.8740000725,399.43200684,23.850000381,NaN,NaN,NaN,192,1.0,2.0
34,3735.8,0.4639999866,20.790000916,NaN,233.47097778,2.6649999619,4.0460000038,NaN,NaN,NaN,NaN,NaN,NaN,2.0,NaN,NaN,NaN,NaN,NaN,5.3759999275,399.43200684,23.549999237,NaN,NaN,NaN,192,1.0,2.0
35,3735.9,0.3709999919,16.819999695,NaN,235.14399719,2.6679999828,4.3140001297,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,4.8489999771,399.49398804,22.819999695,NaN,NaN,NaN,192,1.0,2.0
36,3736.0,0.3030000031,14.659999847,NaN,237.28300476,2.6459999084,4.5120000839,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,4.4180002213,399.49398804,22.270000458,NaN,NaN,NaN,192,1.0,2.0
37,3736.1,0.275000006,13.279999733,NaN,239.42100525,2.6240000725,4.5910000801,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,4.1370000839,399.49398804,21.729999542,NaN,NaN,NaN,192,1.0,2.0
38,3736.2,0.2930000126,14.300000191,NaN,242.47000122,2.5969998837,4.5419998169,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.9649999142,399.55599976,21.329999924,NaN,NaN,NaN,192,1.0,2.0
39,3736.3,0.3350000083,15.800000191,NaN,245.51899719,2.5699999332,4.4180002213,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.8220000267,399.55599976,20.989999771,NaN,NaN,NaN,192,1.0,2.0
40,3736.4,0.3740000129,14.590000153,NaN,246.66799927,2.5539999008,4.3049998283,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.6519999504,399.55599976,20.649999619,NaN,NaN,NaN,192,1.0,2.0
41,3736.5,0.3930000067,13.25,NaN,247.81700134,2.5390000343,4.251999855,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.4579999447,399.55599976,20.290000916,NaN,NaN,NaN,192,1.0,2.0
42,3736.6,0.3980000019,13.670000076,NaN,248.14700317,2.5429999828,4.2369999886,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.3010001183,399.61801147,19.86000061,NaN,NaN,NaN,192,1.0,2.0
43,3736.7,0.4059999883,13.930000305,NaN,248.477005,2.5469999313,4.2160000801,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.2550001144,399.61801147,19.569999695,NaN,NaN,NaN,192,1.0,2.0
44,3736.8,0.4169999957,13.710000038,NaN,248.852005,2.5420000553,4.1830000877,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.3250000477,399.6789856,19.11000061,NaN,NaN,NaN,192,1.0,2.0
45,3736.9,0.4210000038,13.789999962,NaN,249.227005,2.5369999409,4.1710000038,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.4289999008,399.6789856,18.75,NaN,NaN,NaN,192,1.0,2.0
46,3737.0,0.4040000141,13.68999958,NaN,250.09199524,2.5260000229,4.2210001945,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.4679999352,399.74099731,18.459999084,NaN,NaN,NaN,192,1.0,2.0
47,3737.1,0.3519999981,13.420000076,NaN,250.95700073,2.5160000324,4.3720002174,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.4189999104,399.6789856,18.340000153,NaN,NaN,NaN,192,1.0,2.0
48,3737.2,0.2619999945,11.069999695,NaN,251.5249939,2.506000042,4.6319999695,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.3320000172,399.55599976,17.979999542,NaN,NaN,NaN,192,1.0,2.0
49,3737.3,0.1550000012,10.350000381,NaN,252.09399414,2.4960000515,4.9409999847,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,3.2699999809,399.43200684,17.829999924,NaN,NaN,NaN,192,1.0,2.0
